tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
178,-52.00000000000000,0.00000000000000,-47.48616582824500,49.92274629881624,-74.83711859279501,-52.17110964900156,-52.00000000000000,0.00000000000000,0000
179,-52.00000000000000,0.00000000000000,-47.04415947666213,47.96524741738337,-75.11873455106843,-50.12545117961857,-52.00000000000000,0.00000000000000,0000
180,-52.00000000000000,0.00000000000000,-46.62564355832598,46.08450316495018,-75.37759612572995,-48.16000412612288,-52.00000000000000,0.00000000000000,0000
181,-52.00000000000000,0.00000000000000,-46.22963571594320,44.27750394946595,-75.61471206590613,-46.27162335391117,-52.00000000000000,0.00000000000000,0000
182,-52.00000000000000,0.00000000000000,-45.85519272078918,42.54135818667217,-75.83105040754219,-44.45728705087185,-52.00000000000000,0.00000000000000,0000
183,-52.00000000000000,0.00000000000000,-45.50140893238741,40.87328767295084,-76.02754008132642,-42.71409189184100,-52.00000000000000,0.00000000000000,0000
184,-52.00000000000000,0.00000000000000,-45.16741481864602,39.27062313960601,-76.20507245745242,-41.03924839266271,-52.00000000000000,0.00000000000000,0000
185,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.36450282969642,-39.43007644641929,-52.00000000000000,0.00000000000000,0100
186,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.50665184119075,-37.88400103468841,-52.00000000000000,0.00000000000000,0000
187,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.63230685418038,-36.39854810696431,-52.00000000000000,0.00000000000000,0000
